index,headline,short_description,Model_Predict
1272,"['madonna', 'quaker', 'oat', 'guy', 'sure', 'photo']","['celebr', 'longer', 'allow', 'walk', 'red', 'carpet', 'without', 'outfit', 'compar', 'cartoon', 'charact', 'piec']",STYLE & BEAUTY
1274,"['america', 'best', 'small', 'town', 'visit', 'accord', 'smithsonian', 'magazin', 'photo']","['second', 'year', 'row', 'smithsonian', 'magazin', 'put', 'togeth', 'list', 'best', 'small', 'town', 'across', 'america', 'worth']",TRAVEL
1275,"['gentleman', 'vintag', 'show', 'deliv', 'care', 'curat', 'cloth', 'cull', 'around', 'countri']","['grate', 'show', 'exist', 'sinc', 'men', 'often', 'get', 'fuzzi', 'end', 'lollipop', 'vintag', 'concern']",BUSINESS
1276,"['summer', 'camp', 'marriott', 'famili']","['bless', 'spend', 'summer', 'lake', 'winnipesauke', 'new', 'hampshir', 'mani', 'year', 'start', 'back', 'attend', 'camp', 'idlewild', 'lake', 'winnipesauke', 'year', 'old', 'anxiou', 'get', 'hot', 'summer', 'heat']",TRAVEL
1277,"['asian', 'american', 'busi']","['asian', 'fuel', 'american', 'high', 'tech', 'sinc', 'late', 'today', 'trend', 'continu', 'asian', 'mindset', 'humil', 'quiet', 'put', 'mani', 'asian', 'low', 'pay', 'job', 'long', 'hour', 'disservic', 'livelihood', 'respect']",BUSINESS
1278,"['oper', 'fit', 'fabul', 'row', 'new', 'black']","['turn', 'instead', 'pop', 'hop', 'row', 'instead', 'ye', 'heard', 'row', 'hear', 'row', 'new', 'black']",STYLE & BEAUTY
1279,"['summer', 'eat', 'across', 'u']","['local', 'special', 'want', 'miss', 'summer']",TRAVEL
1280,"['best', 'thing', 'vietnam']","['hope', 'current', 'buzz', 'throughout', 'much', 'countri', 'thrill', 'watch', 'chao', 'order', 'play', 'yin', 'yang', 'amidst', 'honk', 'horn', 'noodl', 'stand', 'crumbl', 'coloni', 'remnant', 'high', 'rise', 'list', 'nine', 'best', 'thing', 'vietnam']",TRAVEL
1281,"['cybercrim', 'scheme', 'attack', 'email', 'account', 'bank', 'account']","['cybercrim', 'ever', 'present', 'one', 'particular', 'fraud', 'awar', 'particularli', 'anyon', 'send']",BUSINESS
1282,"['flaunt', 'magazin', 'denim', 'issu', 'print', 'jean', 'liter', 'photo']","['sponsor', 'guess', 'part', 'anniversari', 'campaign', 'issu', 'fill', 'denim', 'fashion', 'jean', 'theme', 'content']",STYLE & BEAUTY
1283,"['tesla', 'report', 'quarterli', 'profit', 'first', 'time', 'year']","['report', 'big', 'boost', 'tesla', 'struggl', 'merg', 'bold', 'innov', 'realiti', 'market']",BUSINESS
1284,"['new', 'year', 'challeng', 'stop', 'guess', 'sale', 'forecast']","['high', 'volum', 'busi', 'may', 'abl', 'get', 'histor', 'percentag', 'win', 'rate', 'mani', 'busi', 'opportun', 'could', 'make', 'break', 'year', 'real', 'challeng', 'stop', 'guess']",BUSINESS
1285,"['jayn', 'mansfield', 'killer', 'eyebrow', 'photo']","['hint', 'favorit', 'detect']",TRAVEL
1286,"['mari', 'osmond', 'style', 'evolut', 'donni', 'sequin', 'sister', 'grown', 'sleek', 'suit', 'photo']","['ruffl', 'sparkl', 'anyon']",STYLE & BEAUTY
1287,"['sell', 'potenti', 'june', 'rate', 'increas']","['market', 'transit', 'mean', 'one', 'thing', 'current', 'environ', 'potenti', 'top', 'begin', 'bear', 'market', 'longer', 'term', 'correct']",BUSINESS
1288,"['watchdog', 'fear', 'sequest', 'bite', 'thing']","['feder', 'govern', 'wall', 'street', 'watchdog', 'feel', 'pinch', 'sequestr', 'washington', 'lawmak', 'cannot', 'strike']",BUSINESS
1291,"['ten', 'best', 'hotel', 'room', 'view', 'northeast', 'east', 'usa', 'edit']","['sometim', 'hotel', 'place', 'hang', 'hat', 'instanc', 'stellar', 'room', 'charm', 'owner', 'put', 'map', 'follow', 'hotel', 'inn', 'particularli', 'notabl', 'outsid', 'inspir', 'view', 'one', 'window']",TRAVEL
1292,"['car', 'land', 'debut', 'disney', 'california', 'adventur', 'photo']","['go', 'car', 'land', 'consid', 'visit', 'night', 'lasset', 'proceed', 'reveal', 'big', 'screen', 'anim', 'car', 'like']",TRAVEL
1293,"['reason', 'everi', 'travel', 'pump']","['gonna', 'big', 'one']",TRAVEL
1294,"['american', 'apparel', 'racial', 'photoshop', 'fail', 'explain', 'updat', 'photo']","['one', 'american', 'apparel', 'attempt', 'sexi', 'one', 'model', 'stick', 'hand', 'anoth', 'model', 'pant', 'photoshop']",STYLE & BEAUTY
1295,"['way', 'wear', 'blazer', 'without', 'bore']","['secret', 'feel', 'instantli', 'polish']",STYLE & BEAUTY
1296,"['second', 'mortgag', 'shell', 'game']","['januari', 'feder', 'regul', 'announc', 'billion', 'agreement', 'mortgag', 'servic', 'settl', 'claim', 'foreclosur']",BUSINESS
1297,"['born', 'explor', 'royal', 'swan', 'england', 'photo']","['richard', 'lionheart', 'supposedli', 'brought', 'england', 'cypru', 'third', 'crusad', 'crown', 'retain', 'ownership', 'unmark', 'mute', 'swan']",TRAVEL
1298,"['christina', 'ricci', 'beauti', 'evolut', 'photo']","['check', 'ricci', 'beauti', 'evolut', 'turn', 'year', 'old', 'sunday', 'see', 'say', 'hit', 'pan']",STYLE & BEAUTY
1299,"['flight', 'attend', 'dish', 'job']","['know', 'suit', 'tie', 'travel', 'probabl', 'paid', 'ticket', 'flip', 'flop', 'short', 'wear', 'flyer']",STYLE & BEAUTY
1300,"['kim', 'cattral', 'beach', 'bodi', 'look', 'get', 'photo']","['look', 'back', 'daili', 'column', 'highlight', 'moment', 'fashion', 'fabul', 'past', 'today', 'pick', 'kim', 'cattral']",STYLE & BEAUTY
1301,"['sky', 'high', 'hotel', 'photo']","['feel', 'dizzi', 'look', 'pictur']",TRAVEL
1302,"['neil', 'lane', 'insid', 'jewelri', 'design', 'collector', 'beverli', 'hill', 'store']","['welcom', 'neil', 'lane', 'beverli', 'hill', 'institut', 'whose', 'namesak', 'synonym', 'fine', 'vintag', 'jewelri', 'adorn', 'hollywood', 'lister', 'angelina', 'joli', 'madonna', 'charliz', 'theron', 'name']",STYLE & BEAUTY
1303,"['mother', 'law', 'big', 'fat', 'gypsi', 'ish', 'wardrob', 'photo']","['velvet', 'lace', 'two', 'fabric', 'closet', 'bound', 'look', 'like']",STYLE & BEAUTY
1304,"['jani', 'taylor', 'ballet', 'dancer', 'reveal', 'trick', 'behind', 'glow', 'skin']","['spot', 'jani', 'taylor', 'street', 'nyc', 'taken', 'aback', 'lusciou', 'lock', 'even', 'surpris']",STYLE & BEAUTY
1305,"['place', 'travel', 'blow', 'steam', 'photo']","['question', 'blow', 'steam', 'without', 'hurt', 'peopl', 'gener', 'wreak', 'havoc', 'also', 'near']",TRAVEL
1306,"['aron', 'cramer', 'climat', 'chang', 'denial', 'polit', 'sustain', 'gop']","['think', 'win', 'polit', 'cling', 'idea', 'simpli', 'add']",BUSINESS
1308,"['ride', 'death', 'road', 'small', 'town', 'bolivia', 'photo']","['crash', 'cours', 'bolivia', 'start', 'one', 'million', 'person', 'capit', 'la', 'paz', 'ride', 'cliff', 'along', 'death', 'road', 'land', 'jungl', 'town', 'corioco']",TRAVEL
1309,"['weekli', 'travel', 'zen', 'pari']","['sometim', 'peac', 'unexpect', 'place', 'week', 'moment', 'travel', 'zen', 'come', 'us', 'anatoli', 'soshilov']",TRAVEL
1310,"['chanel', 'nativ', 'american', 'headdress', 'runway', 'rais', 'eyebrow', 'photo', 'updat']","['updat', 'fashionista', 'obtain', 'statement', 'chanel', 'nativ', 'american', 'integr', 'part', 'texa', 'rich', 'histori', 'cultur']",TRAVEL
1311,"['piec', 'berlin', 'wall']","['chilli', 'fall', 'night', 'friend', 'head', 'smaller', 'potsdam', 'platz', 'section', 'drama', 'travel', 'cover', 'dark', 'unwritten', 'rule', 'tourist', 'take', 'piec', 'remain', 'wall', 'obviou', 'reason']",TRAVEL
1312,"['astana', 'kazakhstan', 'capit', 'nation', 'geograph', 'magazin', 'take', 'look', 'insid', 'photo']","['rich', 'oil', 'miner', 'resourc', 'kazakhstan', 'lavish', 'billion', 'new', 'capit', 'invit', 'world']",TRAVEL
1313,"['make', 'mind', 'dude', 'deficit', 'hawk', 'dove']","['time', 'larger', 'deficit', 'time', 'move', 'toward', 'budget', 'surplu', 'want', 'need', 'cyclic', 'budget', 'deficit', 'offset', 'slump', 'want', 'structur', 'budget', 'deficit', 'get', 'larger', 'economi', 'hit', 'expansionari', 'stride', 'yet']",BUSINESS
1314,"['uncommon', 'reason', 'rise', 'stress']","['feel', 'like', 'unlimit', 'suppli', 'stress', 'world', 'kind', 'stress', 'come', 'growth', 'unfortun', 'kind', 'stress', 'come', 'stuck', 'common', 'sens', 'say', 'growth', 'huge', 'influenc', 'right', 'invest', 'make']",BUSINESS
1315,"['vw', 'warn', 'staff', 'impend', 'massiv', 'cutback']","['open', 'painless', 'new', 'ceo', 'said']",BUSINESS
1316,"['oscar', 'de', 'la', 'renta', 'told', 'hillari', 'clinton', 'cut', 'hair', 'listen']","['true', 'hillari', 'hair', 'rather', 'long', 'back', 'globe', 'trot', 'secretari', 'state', 'day', 'rememb', 'glitteri']",BUSINESS
1317,"['even', 'women', 'top', 'get', 'equal', 'pay']","['downsid', 'old', 'boy', 'club']",TRAVEL
1318,"['destin', 'watch']","['best', 'new', 'year', 'resolut', 'travel', 'look', 'crystal', 'ball', 'found', 'destin', 'dazzl', 'year', 'ahead']",TRAVEL
1319,"['kate', 'middleton', 'aubrey', 'plaza', 'best', 'worst', 'beauti', 'week', 'photo']","['also', 'taken', 'aback', 'lot', 'great', 'lip', 'color', 'side', 'pond', 'solang', 'knowl', 'perfect', 'red', 'lipstick']",STYLE & BEAUTY
1320,"['bar', 'mitzvah', 'relev']","['ny', 'time', 'cover', 'news', 'stori', 'today', 'make', 'bar', 'bat', 'mitzvah', 'relev', 'need', 'look', 'littl', 'fashion']",BUSINESS
1321,"['panten', 'hair', 'commerci', 'darn', 'confid']","['back', 'panten', 'launch', 'one', 'memor', 'advertis', 'campaign', 'model', 'actress', 'kelli', 'lebrock', 'sport']",STYLE & BEAUTY
1322,"['andi', 'south', 'transgend', 'project', 'runway', 'contest', 'live', 'woman']","['also', 'note', 'much', 'chang', 'year', 'much', 'love', 'cousin', 'sister', 'year', 'intens', 'growth', 'share']",STYLE & BEAUTY
1323,"['ikea', 'hotel', 'come', 'europ']","['ikea', 'also', 'get', 'citi', 'plan', 'game', 'announc', 'year', 'compani', 'begin', 'construct']",BUSINESS
1324,"['shirtdress', 'spring', 'summer', 'affair', 'photo']","['meanwhil', 'think', 'eva', 'longoria', 'sparkli', 'shirtdress', 'cinch', 'waist', 'matt', 'color', 'shirtdress', 'statement']",STYLE & BEAUTY
1325,"['app', 'busi', 'travel']","['tripit', 'turn', 'flight', 'hotel', 'car', 'rental', 'confirm', 'email', 'simpl', 'mobil', 'travel', 'itinerari', 'seatalert', 'way', 'painlessli', 'secur', 'prefer', 'airlin', 'seat', 'get', 'middl', 'seat', 'ensur', 'seat', 'next', 'travel', 'mate']",TRAVEL
1326,"['need', 'know', 'moistur', 'face']","['winter', 'skin', 'solut', 'oili', 'look', 'lotion', 'instead', 'cream', 'advis', 'dr', 'lain', 'find', 'formula', 'exfoli']",BUSINESS
1327,"['fashion', 'whip', 'polit', 'pantyhos']","['sudden', 'pantyhos', 'back', 'store', 'shelv', 'leg', 'republican', 'candid', 'wive', 'k', 'street']",BUSINESS
1328,"['zooey', 'deschanel', 'golden', 'globe', 'dress', 'see', 'red', 'carpet', 'look', 'photo']","['see', 'look', 'golden', 'globe', 'red', 'carpet', 'photo', 'zooey', 'deschanel', 'aka', 'unoffici', 'queen', 'quirk', 'take']",STYLE & BEAUTY
1329,"['spring', 'break', 'travel', 'look', 'break', 'tradit', 'destin', 'photo']","['big', 'citi', 'also', 'got', 'lot', 'interest', 'travel', 'new', 'york', 'lo', 'angel', 'san', 'francisco', 'top', 'kayak']",TRAVEL
1330,"['richest', 'u', 'presid']","['month', 'specul', 'gop', 'presidenti', 'candid', 'mitt', 'romney', 'recent', 'confirm', 'worth', 'roughli', 'million']",BUSINESS
1331,"['hasid', 'jew', 'harper', 'bazaar', 'black', 'code', 'shoot', 'spark', 'controversi', 'video']","['anoth', 'day', 'anoth', 'intern', 'fashion', 'spread', 'caricatur', 'minor', 'group', 'glossi', 'controversi', 'mag']",STYLE & BEAUTY
1332,"['adam', 'levin', 'ann', 'v', 'split', 'caught', 'maroon', 'singer', 'guard']","['whole', 'thing', 'bummer', 'realli', 'ann', 'v', 'alway', 'look', 'bright', 'cheeri', 'well', 'met', 'girl']",STYLE & BEAUTY
1333,"['john', 'st', 'ong', 'bar', 'legoland', 'discoveri', 'center', 'unaccompani', 'child']","['long', 'want', 'visit', 'legoland', 'store', 'denmark', 'locat', 'compani', 'headquart', 'health']",TRAVEL
1334,"['london', 'big', 'name', 'fashion', 'take', 'runway', 'vfno', 'debut', 'florenc']","['philip', 'treaci', 'christoph', 'kane', 'erdem', 'mari', 'katrantz', 'burberri', 'peter', 'pilotto', 'london', 'star', 'togeth', 'space', 'hour', 'differ', 'one', 'anoth', 'even', 'color', 'act', 'common', 'thread', 'show']",STYLE & BEAUTY
1335,"['princess', 'charlen', 'attend', 'pari', 'fashion', 'week', 'south', 'africa', 'gala', 'one', 'weekend', 'photo']","['princess', 'charlen', 'goe', 'super', 'sexi', 'fashion', 'forward', 'one', 'weekend']",STYLE & BEAUTY
1336,"['surpris', 'thing', 'insur', 'cover']","['insur', 'provid', 'safeti', 'net', 'individu', 'worri', 'properti', 'purchas', 'howev', 'insur', 'polici', 'come', 'long', 'list', 'exclus', 'leav', 'policyhold', 'cold', 'unforeseen', 'happen']",BUSINESS
1337,"['lux', 'budget', 'great', 'boutiqu', 'hotel', 'improv', 'vacat']","['recent', 'spent', 'day', 'pari', 'height', 'summer', 'beastli', 'hot', 'downsid', 'pari', 'vote', 'tourist', 'destin', 'well', 'tourist', 'overcrowd', 'cacophon', 'abund', 'yet', 'fairli', 'bliss', 'trip']",TRAVEL
1338,"['kristen', 'stewart', 'trampir', 'shirt', 'let', 'show', 'stanc', 'photo', 'poll']","['want', 'sure', 'check', 'huffpost', 'style', 'twitter', 'facebook', 'tumblr', 'pinterest', 'onlin', 'retail', 'skreen', 'offer']",STYLE & BEAUTY
1339,"['princess', 'eugeni', 'boodl', 'box', 'ball', 'dress', 'recent', 'repeat', 'photo']","['moral', 'stori', 'next', 'time', 'stump', 'black', 'tie', 'event', 'tri', 'shop', 'closet', 'princess']",STYLE & BEAUTY
1340,"['januari', 'jone', 'casual', 'style', 'sync', 'mad', 'men', 'co', 'star', 'photo']","['photo', 'want', 'sure', 'check', 'huffpost', 'style', 'twitter', 'facebook', 'tumblr', 'pinterest', 'instagram', 'huffpoststyl']",STYLE & BEAUTY
1341,"['hotel', 'imposs', 'travel', 'channel', 'new', 'hotel', 'improv', 'seri']","['travel', 'channel', 'latest', 'offer', 'line', 'new', 'show', 'hotel', 'imposs', 'follow', 'hotel', 'veteran', 'anthoni']",STYLE & BEAUTY
1342,"['way', 'updat', 'appliqué', 'photo']","['want', 'see', 'appliqu', 'action', 'check', 'favorit', 'look', 'season', 'say', 'appliqué']",STYLE & BEAUTY
1343,"['world', 'worst', 'boss', 'write', 'clueless', 'letter', 'histori', 'best', 'employe', 'quit']",['unbeliev'],BUSINESS
1344,"['panic', 'use', 'social', 'media', 'crisi']","['social', 'media', 'engag', 'still', 'often', 'default', 'approach', 'mani', 'compani', 'organis', 'govern', 'robust', 'process', 'network', 'place', 'earli', 'social', 'default', 'instinct', 'readi', 'maintain', 'place', 'convers', 'otherwis', 'go', 'around']",BUSINESS
1345,"['beauti', 'street', 'style', 'tiffani', 'martinbrough', 'tv', 'produc', 'reveal', 'person', 'acn', 'cure']","['beauti', 'street', 'style', 'seri', 'find', 'inspir', 'girl', 'around', 'new', 'york', 'citi', 'get', 'secret', 'look', 'week']",STYLE & BEAUTY
1346,"['hidden', 'price', 'mind', 'inc']","['mani', 'cash', 'medit', 'craze', 'hard', 'wonder', 'whether', 'someth', 'essenti', 'lost']",BUSINESS
1347,"['stylish', 'histor', 'getaway', 'northeast', 'photo']","['histori', 'aliv', 'northeast', 'mani', 'eleg', 'old', 'home', 'transform', 'comfort', 'inn', 'stylish', 'histor', 'getaway']",TRAVEL
1348,"['expat', 'recoveri', 'room']","['lie', 'humid', 'soak', 'bed', 'near', 'galata', 'tower', 'hack', 'content', 'lung', 'grown', 'ever', 'spread', 'ceil', 'mold', 'pick', 'red', 'line', 'bedbug', 'bite', 'ankl', 'wrist', 'curv', 'uzbek', 'knife', 'final', 'resolv', 'chang', 'direct']",TRAVEL
1349,"['san', 'ysidro', 'ranch', 'cali', 'stylish', 'list', 'hideaway']","['littl', 'bit', 'magic', 'air', 'san', 'ysidro', 'ranch', 'ask', 'recommend', 'stylish', 'break', 'california', 'get', 'glaze', 'long', 'look', 'friend', 'recommend']",TRAVEL
1350,"['istanbul', 'turkey', 'local', 'way']","['give', 'tast', 'local', 'free', 'time', 'istanbul', 'small', 'select', 'popular', 'tip', 'blog']",TRAVEL
1351,"['countri', 'still', 'perfect', 'credit', 'wall', 'st']","['u', 'govern', 'gross', 'debt', 'amount', 'gdp', 'highest', 'world', 'top', 'rate', 'countri']",BUSINESS
1352,"['new', 'carri', 'bradshaw', 'prada', 'schiaparelli', 'met', 'style', 'news']","['set', 'open', 'spring', 'sneak', 'peek', 'costum', 'institut', 'latest', 'fashion', 'exhibit', 'titl', 'schiaparelli']",STYLE & BEAUTY
1353,"['beauti', 'innov', 'orphan']","['innov', 'orphan', 'need', 'adopt', 'though', 'might', 'invent', 'may', 'worthi', 'support', 'sure', 'realli', 'love']",BUSINESS
1354,"['cindi', 'crawford', 'without', 'makeup', 'malibu', 'photo']","['work', 'miss', 'c']",STYLE & BEAUTY
1355,"['rihanna', 'bondag', 'boot', 'ann', 'hathaway', 'one', 'time', 'photo']","['think', 'celebr', 'could', 'learn', 'mistak', 'right', 'rihanna', 'took', 'cue', 'ann', 'hathaway', 'fine']",STYLE & BEAUTY
1356,"['place', 'abroad', 'also', 'close', 'due', 'govern', 'shutdown']","['well', 'think', 'nation', 'park', 'close', 'home', 'tourist', 'abroad', 'hard', 'time', 'visit']",TRAVEL
1357,"['weekli', 'roundup', 'ebay', 'vintag', 'cloth', 'find', 'photo']","['item', 'favorit', 'leav', 'comment', 'let', 'know', 'pleas', 'take', 'minut', 'rate', 'favorit', 'slide']",STYLE & BEAUTY
1358,"['ultra', 'inclus', 'resort', 'percent', 'photo']","['differ', 'luxuri', 'resort', 'luxuri', 'resort', 'eight', 'even', 'exclus', 'pride', 'highli', 'individu', 'servic', 'seldom', 'larger', 'room']",TRAVEL
1359,"['victoria', 'beckham', 'style', 'evolut', 'spray', 'tan', 'sleek', 'sophist', 'photo']","['posh', 'well', 'dress', 'talent', 'even', 'wait', 'funni', 'knew', 'design', 'even', 'quot', 'take', 'jab']",STYLE & BEAUTY
1360,"['kristen', 'stewart', 'lace', 'jumpsuit', 'yay', 'nay', 'photo', 'poll']","['want', 'sure', 'check', 'huffpost', 'style', 'twitter', 'facebook', 'tumblr', 'pinterest', 'instagram', 'huffpoststyl', 'kristen']",STYLE & BEAUTY
1361,"['jennif', 'nettl', 'two', 'beauti', 'look', 'like', 'best', 'poll']","['check', 'previou', 'two', 'face', 'beauti', 'look', 'slideshow', 'jennif', 'nettl', 'photo', 'jim', 'spellman', 'wireimag']",STYLE & BEAUTY
1362,"['legit', 'eiffel', 'tower', 'replica', 'know', 'exist']","['tower', 'mani', 'amaz', 'stori', 'happen', 'construct', 'replica', 'serv', 'area', 'cellular', 'tower']",TRAVEL
1363,"['romeo', 'juliet', 'fish', 'tank', 'scene', 'make', 'us', 'want', 'dress', 'like', 'angel', 'video']","['movi', 'scene', 'render', 'us', 'useless', 'fish', 'tank', 'moment', 'version', 'romeo', 'juliet', 'one', 'look', 'leonardo']",STYLE & BEAUTY
1364,['climb'],"['would', 'love', 'tell', 'beauti', 'experi', 'close', 'god', 'felt', 'climb', 'magnific', 'mountain', 'howev', 'believ', 'becam', 'deliri', 'somewher', 'around', 'feet', 'realli', 'memori', 'make', 'top']",TRAVEL
1365,"['jwoww', 'face', 'almost', 'unrecogniz', 'happen', 'photo']",['happen'],STYLE & BEAUTY
1366,"['fashion', 'suitabl', 'trip', 'moon', 'know', 'hang', 'video']","['model', 'wear', 'teas', 'updo', 'reminisc', 'twiggi', 'short', 'line', 'skirt', 'remind', 'us', 'marc', 'jacob', 'spring', 'collect']",STYLE & BEAUTY
1367,"['princ', 'william', 'play', 'polo', 'world', 'wait', 'royal', 'babi', 'news', 'photo']","['want', 'sure', 'check', 'huffpost', 'style', 'twitter', 'facebook', 'tumblr', 'pinterest', 'instagram', 'huffpoststyl', 'princ']",STYLE & BEAUTY
1368,"['pari', 'syndrom', 'shock', 'citi', 'light']","['person', 'encount', 'pari', 'syndrom', 'first', 'saw', 'toilet', 'never', 'would', 'guess', 'go', 'eat', 'aliv', 'say', 'look', 'suspici']",TRAVEL
1369,"['lila', 'moss', 'kate', 'moss', 'year', 'old', 'daughter', 'gear', 'model', 'career', 'photo']","['lila', 'dad', 'jefferson', 'hack', 'co', 'founder', 'daze', 'confus', 'magazin', 'kate', 'moss', 'marri', 'kill', 'guitarist', 'jami']",STYLE & BEAUTY
1371,"['way', 'make', 'famili', 'road', 'trip', 'easier', 'parent']","['waterproof', 'cover', 'seat', 'kind', 'brilliant']",TRAVEL
1372,"['glimps', 'paradis', 'bora', 'bora']","['bora', 'bora', 'began', 'person', 'letter', 'long', 'ago', 'best', 'sell', 'author', 'jame', 'michen', 'letter', 'still', 'hold', 'dear']",TRAVEL
1373,"['sarah', 'jessica', 'parker', 'goe', 'sheer', 'loui', 'vuitton', 'fall', 'show', 'yay', 'nay', 'photo', 'poll']","['sjp', 'glamor', 'look', 'big', 'departur', 'usual', 'uniform', 'chase', 'new', 'twin', 'around', 'new', 'york', 'citi', 'leather']",STYLE & BEAUTY
1374,"['top', 'best', 'cruis', 'shore', 'excurs']","['welcom', 'wave', 'season', 'major', 'cruis', 'line', 'slash', 'cruis', 'price', 'insan', 'good', 'deal', 'year', 'mani', 'big', 'gun', 'sweeten', 'pot', 'cash', 'back', 'bonus', 'spend', 'lifetim', 'shore', 'excurs']",TRAVEL
1375,"['hannah', 'simon', 'two', 'beauti', 'look', 'like', 'best']","['hannah', 'simon', 'photo', 'jill', 'johnson', 'jpistudio', 'com', 'locat', 'fox', 'star', 'parti', 'pasadena', 'california', 'januari']",STYLE & BEAUTY
1376,"['coach', 'cloth', 'women', 'way']","['want', 'sure', 'check', 'huffpost', 'style', 'twitter', 'facebook', 'tumblr', 'pinterest', 'instagram', 'huffpoststyl']",STYLE & BEAUTY
1377,"['simon', 'johnson', 'want', 'get', 'tough', 'wall', 'street', 'man']","['obama', 'administr', 'float', 'idea', 'mari', 'j', 'miller', 'secretari', 'domest', 'financ', 'treasuri', 'depart']",BUSINESS
1378,"['great', 'getaway', 'savannah']","['look', 'fun', 'afford', 'southern', 'getaway', 'visit', 'savannah', 'find', 'perfect', 'mix', 'southern', 'hospit', 'nightlif', 'enough', 'action', 'satisfi', 'everi', 'food', 'lover', 'histori', 'buff']",TRAVEL
1379,"['samantha', 'cameron', 'vacat', 'style', 'look', 'like', 'came', 'straight', 'catalog', 'photo']","['want', 'sure', 'check', 'huffpost', 'style', 'twitter', 'facebook', 'tumblr', 'pinterest', 'instagram', 'huffpoststyl', 'samcam']",STYLE & BEAUTY
1380,"['parti', 'citi', 'photoshop', 'plu', 'size', 'model', 'photo']","['white', 'skeleton', 'leg', 'regular', 'plu', 'size', 'h', 'consumerist', 'black', 'ribbon', 'stripe', 'pantyhos', 'regular', 'plu', 'size', 'red', 'fishnet']",STYLE & BEAUTY
1381,"['travel', 'taught', 'realiti']","['individu', 'percept', 'realiti', 'inextric', 'link', 'percept', 'geographi', 'comprehens', 'pictur', 'someon', 'world', 'wider', 'percept', 'possibl', 'becom']",BUSINESS
1382,"['manufactur', 'help', 'sector', 'much']","['mani', 'year', 'polici', 'maker', 'public', 'offici', 'argu', 'whether', 'public', 'polici', 'help', 'promot', 'american', 'manufactur', 'whether', 'leav', 'alon', 'let', 'market', 'usual', 'stark', 'posit', 'littl', 'realiti']",BUSINESS
1383,"['surpris', 'use', 'pumpkin', 'none', 'latt']","['five', 'guilt', 'free', 'use', 'pumpkin', 'want', 'huffpost', 'style', 'beauti', 'content', 'check', 'us', 'twitter', 'facebook', 'tumblr']",STYLE & BEAUTY
1384,"['vacat', 'deficit', 'disord', 'quotient', 'poll']","['america', 'known', 'infam', 'vacat', 'nation', 'fact', 'half', 'us', 'took', 'vacat', 'time', 'last', 'year']",TRAVEL
1385,"['women', 'busi', 'asha', 'dahya', 'founder', 'girl', 'talk', 'hq']","['asha', 'dahya', 'host', 'content', 'creator', 'born', 'uk', 'rais', 'australia', 'studi', 'ba', 'doubl', 'major', 'film', 'journal', 'indian', 'ethnic', 'resid', 'lo', 'angel']",STYLE & BEAUTY
1386,"['hall', 'berri', 'cleavag', 'prove', 'distract', 'jay', 'leno', 'photo', 'video']","['appear', 'tonight', 'show', 'jay', 'leno', 'last', 'night', 'year', 'old', 'don', 'skimpi', 'reem', 'acra', 'lbd', 'silver']",STYLE & BEAUTY
1387,"['bachelor', 'season', 'ep', 'style', 'recap', 'grand', 'final', 'photo']","['photo', 'low', 'cut', 'top', 'zermatt', 'switzerland', 'ben', 'produc', 'chose', 'cap', 'season']",TRAVEL
1388,"['allur', 'greater', 'caucasu', 'explor', 'svaneti', 'georgia']","['svaneti', 'famou', 'far', 'flung', 'georgia', 'mountain', 'provinc', 'come', 'repres', 'idol', 'version', 'typic', 'georgian', 'land', 'folk', 'hero', 'strang', 'mist', 'crumbl', 'tower', 'sacrif', 'goat']",TRAVEL
1389,"['spanx', 'awesom', 'women', 'need', 'skirt', 'slip', 'photo']","['recent', 'photo', 'shoot', 'one', 'model', 'came', 'concern', 'sinc', 'wear', 'short', 'dress', 'hope']",STYLE & BEAUTY
1390,"['kate', 'middleton', 'consign', 'dress', 'duchess', 'goe', 'thrift', 'appar', 'photo']","['cours', 'way', 'prove', 'dress', 'kate', 'wore', 'art', 'galleri', 'kate', 'announc']",STYLE & BEAUTY
1391,"['abacu', 'sour', 'deal', 'seen', 'new', 'york', 'time']","['busi', 'editor', 'new', 'york', 'time', 'seem', 'forev', 'determin', 'whitewash', 'sanit', 'one', 'core', 'caus', 'financi', 'debacl', 'central', 'melt']",BUSINESS
1392,"['volunt', 'program', 'budget', 'travel']","['pay', 'volunt', 'mani', 'peopl', 'assum', 'volunt', 'alway', 'free', 'go', 'abroad', 'particip', 'commun', 'servic']",BUSINESS
1393,"['runway', 'realiti', 'check', 'punk', 'never', 'look', 'pretti']","['navig', 'show', 'new', 'york', 'fashion', 'week', 'stun', 'lack', 'excit', 'seem', 'plagu', 'mani', 'fashion', 'industri', 'metropolitan', 'museum', 'art', 'costum', 'institut', 'summer', 'incred', 'teenag', 'show', 'inspir', 'excit', 'empow', 'fashion']",STYLE & BEAUTY
1394,"['new', 'york', 'fashion', 'week', 'donna', 'karan', 'fall', 'photo']","['ashley', 'green', 'emmi', 'rossum', 'rose', 'mcgowan', 'adriana', 'lima', 'rachel', 'zoe', 'skinni', 'show', 'note', 'donna', 'karan']",STYLE & BEAUTY
1395,"['aol', 'allianc', 'nbcunivers', 'content', 'distribut', 'video']","['newfront', 'event', 'tuesday', 'aol', 'nbcunivers', 'announc', 'content', 'develop', 'distribut', 'arrang', 'overview', 'arrang', 'interview', 'bob', 'lord', 'presid', 'aol', 'inc']",BUSINESS
